Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
HOTL.IMMOB.NICE,FR0006563904,MLHIN,Euronext Access Paris,EUR,147,147,147,147,27/05/2019 11:30,CET,1,147
HSBC HOLDINGS,GB0005405286,HSB,Euronext Paris,EUR,7.47,7.47,7.415,7.432,28/05/2019 17:35,CET,25459,189596.03
HUNTER DOUGLAS,ANN4327C1220,HDG,Euronext Amsterdam,EUR,61.2,61.2,60.6,60.6,28/05/2019 17:35,CET,1708,103777.6
HUNTER DOUGLAS,ANN4327C1303,HUNDP,Euronext Amsterdam,EUR,0.2,0.2,0.2,0.2,23/05/2019 11:30,CET,880,176
HYBRIGENICS,FR0004153930,ALHYG,Euronext Growth Paris,EUR,0.117,0.1208,0.112,0.1122,28/05/2019 17:29,CET,359286,41351.22
HYDRATEC,NL0009391242,HYDRA,Euronext Amsterdam,EUR,75.5,76,75.5,76,28/05/2019 16:30,CET,758,57600.5
HYDRAULIQUE PB,FR0000064735,MLHYD,Euronext Access Paris,EUR,550,550,550,550,08/05/2019 11:30,CET,1,550
HYDRO-EXPLOIT.,FR0005843125,MLHYE,Euronext Access Paris,EUR,54,54,54,54,23/05/2019 11:30,CET,392,21168
I.CERAM,FR0011511971,ALICR,Euronext Growth Paris,EUR,3.04,3.04,2.97,2.97,28/05/2019 09:17,CET,151,452.74
I2S,FR0005854700,ALI2S,Euronext Growth Paris,EUR,3.8,4,3.8,4,24/05/2019 16:30,CET,1224,4891.2
IBA,BE0003766806,IBAB,Euronext Brussels,EUR,15.52,15.53,14.75,15,28/05/2019 17:35,CET,68353,1025643.87
"IBERSOL,SGPS",PTIBS0AM0008,IBS,Euronext Lisbon,EUR,8.14,8.16,8.14,8.16,28/05/2019 21:35,BST,3216,26188.4
IBM,US4592001014,IBMA,Traded not listed Brussels,USD,141,141,141,141,28/02/2019 09:00,CET,20,2470.22
ICADE,FR0000035081,ICAD,Euronext Paris,EUR,77.4,77.45,76.45,76.8,28/05/2019 17:35,CET,274669,21096187.05
ICT GROUP,NL0000359537,ICT,Euronext Amsterdam,EUR,12.3,12.55,12.25,12.55,28/05/2019 17:35,CET,2415,29787.55
ID LOGISTICS GROUP,FR0010929125,IDL,Euronext Paris,EUR,152.2,156.2,151.8,156.2,28/05/2019 17:35,CET,5481,854701.6
IDI,FR0000051393,IDIP,Euronext Paris,EUR,45.6,46.6,45.6,46.6,28/05/2019 16:49,CET,531,24515.7
IDS,FR0000079691,MLIDS,Euronext Access Paris,EUR,0.85,0.85,0.85,0.85,28/05/2019 16:30,CET,657,558.45
IDSUD,FR0000062184,ALIDS,Euronext Growth Paris,EUR,59,59,59,59,28/05/2019 09:00,CET,1,59
IEP INVEST,BE0003748622,IEP,Euronext Brussels,EUR,6.3,6.35,6.3,6.35,23/05/2019 09:49,CET,1084,6879.2
IEX GROUP NV,NL0010556726,IEX,Euronext Amsterdam,EUR,2.7,2.7,2.7,2.7,27/05/2019 14:31,CET,300,810
IFF,US4595061015,IFF,Euronext Paris,EUR,106.5,106.5,106.5,106.5,29/10/2015 14:49,CET,15,1597.5
IFG GROUP PLC,IE0002325243,IJG,Euronext Dublin,EUR,2.08,2.14,2.08,2.14,28/05/2019 15:30,UTC,11212,23835.86
